Date,Open,High,Low,Close,Adj Close,Volume
2022-06-03,21.059999,21.150000,20.799999,20.900000,20.625286,27796900
2022-06-06,20.920000,21.049999,20.830000,20.940001,20.664761,22002900
2022-06-07,20.900000,21.190001,20.770000,21.139999,20.862131,24977700
2022-06-08,21.090000,21.200001,20.990000,21.049999,20.773314,20732900
2022-06-09,21.020000,21.160000,20.870001,20.879999,20.605549,24934500
2022-06-10,20.680000,20.850000,20.629999,20.690001,20.418047,33572700
2022-06-13,20.400000,20.490000,19.680000,19.760000,19.500271,56215900
2022-06-14,19.879999,19.959999,19.299999,19.450001,19.194345,42638300
2022-06-15,19.600000,19.709999,19.180000,19.440001,19.184477,38941900
2022-06-16,19.280001,19.290001,18.670000,18.959999,18.710785,67896400
2022-06-17,19.139999,19.420000,19.000000,19.379999,19.125265,97645400
2022-06-21,19.650000,20.049999,19.469999,19.959999,19.697641,49307700
2022-06-22,19.850000,20.549999,19.820000,20.320000,20.052910,46607400
2022-06-23,20.430000,20.780001,20.080000,20.610001,20.339098,51713600
2022-06-24,20.700001,21.059999,20.510000,20.990000,20.714104,47641700
2022-06-27,20.950001,21.040001,20.670000,20.780001,20.506865,32339900
2022-06-28,20.930000,21.059999,20.600000,20.610001,20.339098,26754000
2022-06-29,20.670000,21.020000,20.540001,20.950001,20.674629,26585700
2022-06-30,20.790001,21.150000,20.750000,20.959999,20.684496,37655700
2022-07-01,20.969999,21.389999,20.870001,21.309999,21.029896,32762500
2022-07-05,21.129999,21.190001,20.780001,21.170000,20.891737,36960500
2022-07-06,21.170000,21.230000,20.889999,21.090000,20.812790,27645000
2022-07-07,21.170000,21.320000,21.030001,21.150000,20.872000,27015400
2022-07-08,20.930000,21.059999,20.750000,20.799999,20.799999,22366300
2022-07-11,20.709999,20.860001,20.629999,20.660000,20.660000,23326400
2022-07-12,20.629999,20.860001,20.450001,20.600000,20.600000,26448000
2022-07-13,20.450001,20.600000,20.230000,20.450001,20.450001,25213100
2022-07-14,20.129999,20.350000,20.049999,20.330000,20.330000,26621000
2022-07-15,20.540001,20.590000,20.209999,20.570000,20.570000,23838000
2022-07-18,20.629999,20.690001,20.510000,20.530001,20.530001,22507400
2022-07-19,20.600000,20.860001,20.530001,20.799999,20.799999,21813100
2022-07-20,20.820000,20.830000,20.400000,20.480000,20.480000,34207200
2022-07-21,19.040001,19.120001,18.240000,18.920000,18.920000,123409000
2022-07-22,18.660000,18.690001,18.250000,18.400000,18.400000,72016300
2022-07-25,18.379999,18.650000,18.330000,18.530001,18.530001,39493100
2022-07-26,18.400000,18.450001,18.180000,18.299999,18.299999,38885000
2022-07-27,18.350000,18.490000,18.230000,18.389999,18.389999,36607400
